序号,问题,答案,标准名称,标准编号,问答类型,适配路径,来源记录ID,来源链接,复核状态
809,标准《农作物四级种子质量标准 第3部分：水稻常规种》的编号是什么？,该标准的编号为DB41/T 997.3-2014。,农作物四级种子质量标准 第3部分：水稻常规种,DB41/T 997.3-2014,事实型问答,GraphRAG-MCP快路径,standard_191f2bbed0e26a32,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D73A72E24E05397BE0A0A3A10,机器构建后待人工复核
810,标准《农作物四级种子质量标准 第4部分：水稻三系杂交种》的编号是什么？,该标准的编号为DB41/T 997.4-2014。,农作物四级种子质量标准 第4部分：水稻三系杂交种,DB41/T 997.4-2014,事实型问答,GraphRAG-MCP快路径,standard_211987d65df341b7,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8E532E24E05397BE0A0A3A10,机器构建后待人工复核
811,标准《水稻机械化育插秧技术规程》的编号是什么？,该标准的编号为DB4107/T 444-2020。,水稻机械化育插秧技术规程,DB4107/T 444-2020,事实型问答,GraphRAG-MCP快路径,standard_4dc92d10dbc94bd8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=AD3238CA4C7A7967E05397BE0A0A173D,机器构建后待人工复核
812,标准《水稻主要病虫草害综合防治技术规程》的编号是什么？,该标准的编号为DB4107/T 484-2021。,水稻主要病虫草害综合防治技术规程,DB4107/T 484-2021,事实型问答,GraphRAG-MCP快路径,standard_c1f0c696a93babcf,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C3629C05621493E6E05397BE0A0AAFF1,机器构建后待人工复核
813,标准《水稻全程机械化种植生产技术规程》的编号是什么？,该标准的编号为DB4109/T 009-2019。,水稻全程机械化种植生产技术规程,DB4109/T 009-2019,事实型问答,GraphRAG-MCP快路径,standard_ba767a408bc1af09,https://std.samr.gov.cn/db/search/stdDBDetailed?id=9B97E6F559516D20E05397BE0A0A880F,机器构建后待人工复核
814,标准《优质水稻栽培技术操作规程》的编号是什么？,该标准的编号为DB4109/T 064-2024。,优质水稻栽培技术操作规程,DB4109/T 064-2024,事实型问答,GraphRAG-MCP快路径,standard_f60f7a9f9d23a97c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=290FCCD513C5C771E06397BE0A0A6E45,机器构建后待人工复核
815,标准《水稻直播高产栽培技术规程》的编号是什么？,该标准的编号为DB4113/T 061-2024。,水稻直播高产栽培技术规程,DB4113/T 061-2024,事实型问答,GraphRAG-MCP快路径,standard_fccf642189fa2e21,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1254E4DBBF69EC3BE06397BE0A0AA9DB,机器构建后待人工复核
816,标准《水稻施肥技术规程》的编号是什么？,该标准的编号为DB4113/T 062-2024。,水稻施肥技术规程,DB4113/T 062-2024,事实型问答,GraphRAG-MCP快路径,standard_e240ca74e8a68821,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1254E4DBBF6AEC3BE06397BE0A0AA9DB,机器构建后待人工复核
817,标准《水稻主要病虫害综合防治技术规程》的编号是什么？,该标准的编号为DB4113/T 063-2024。,水稻主要病虫害综合防治技术规程,DB4113/T 063-2024,事实型问答,GraphRAG-MCP快路径,standard_3efb87895f0ab428,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1254E4DBBF6BEC3BE06397BE0A0AA9DB,机器构建后待人工复核
818,标准《水稻工厂化育秧机械插秧栽培技术规程》的编号是什么？,该标准的编号为DB42/T 01B91001-1990。,水稻工厂化育秧机械插秧栽培技术规程,DB42/T 01B91001-1990,事实型问答,GraphRAG-MCP快路径,standard_b407e65b7d185ed3,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DE4282E24E05397BE0A0A3A10,机器构建后待人工复核
819,标准《冷浸田 机械起垄 水稻栽培技术规程》的编号是什么？,该标准的编号为DB42/T 1058-2015。,冷浸田 机械起垄 水稻栽培技术规程,DB42/T 1058-2015,事实型问答,GraphRAG-MCP快路径,standard_60153966899709fb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D4F922E24E05397BE0A0A3A10,机器构建后待人工复核
820,标准《水稻三化螟测报调查规范》的编号是什么？,该标准的编号为DB42/T 107-2002。,水稻三化螟测报调查规范,DB42/T 107-2002,事实型问答,GraphRAG-MCP快路径,standard_40c9860b7c861a55,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D60022E24E05397BE0A0A3A10,机器构建后待人工复核
821,标准《水稻稻纵卷叶螟防控技术规程》的编号是什么？,该标准的编号为DB42/T 1075-2015。,水稻稻纵卷叶螟防控技术规程,DB42/T 1075-2015,事实型问答,GraphRAG-MCP快路径,standard_fcbee5e54d8a3b72,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D40F92E24E05397BE0A0A3A10,机器构建后待人工复核
822,标准《水稻三化螟测报资料统计规范》的编号是什么？,该标准的编号为DB42/T 108-2002。,水稻三化螟测报资料统计规范,DB42/T 108-2002,事实型问答,GraphRAG-MCP快路径,standard_fcb8845ba0a5389e,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D69952E24E05397BE0A0A3A10,机器构建后待人工复核
823,标准《水稻广两优272栽培技术规程》的编号是什么？,该标准的编号为DB42/T 1133-2016。,水稻广两优272栽培技术规程,DB42/T 1133-2016,事实型问答,GraphRAG-MCP快路径,standard_dcde3b0d16a35a4c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DDD852E24E05397BE0A0A3A10,机器构建后待人工复核
824,标准《水稻广两优5号生产技术规程》的编号是什么？,该标准的编号为DB42/T 1136-2016。,水稻广两优5号生产技术规程,DB42/T 1136-2016,事实型问答,GraphRAG-MCP快路径,standard_47d00e5aaad92b97,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DA49C2E24E05397BE0A0A3A10,机器构建后待人工复核
825,标准《秸秆还田机械化 第1部分：水稻秸秆作业技术规范》的编号是什么？,该标准的编号为DB42/T 1171.1-2016。,秸秆还田机械化 第1部分：水稻秸秆作业技术规范,DB42/T 1171.1-2016,事实型问答,GraphRAG-MCP快路径,standard_3259e9317d263718,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D45F02E24E05397BE0A0A3A10,机器构建后待人工复核
826,标准《水稻花药培养技术规程》的编号是什么？,该标准的编号为DB42/T 1290-2017。,水稻花药培养技术规程,DB42/T 1290-2017,事实型问答,GraphRAG-MCP快路径,standard_69c699983b93ecf8,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8E422E24E05397BE0A0A3A10,机器构建后待人工复核
827,标准《水稻抗褐飞虱抗性鉴定技术规程》的编号是什么？,该标准的编号为DB42/T 1376-2018。,水稻抗褐飞虱抗性鉴定技术规程,DB42/T 1376-2018,事实型问答,GraphRAG-MCP快路径,standard_3fa24be25432d516,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D96F82E24E05397BE0A0A3A10,机器构建后待人工复核
828,标准《四倍体水稻光温敏雄性核不育系选育技术规程》的编号是什么？,该标准的编号为DB42/T 1382-2018。,四倍体水稻光温敏雄性核不育系选育技术规程,DB42/T 1382-2018,事实型问答,GraphRAG-MCP快路径,standard_b92d1dcf6871ddfd,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D9ABC2E24E05397BE0A0A3A10,机器构建后待人工复核
829,标准《水稻品种抽穗扬花期耐冷性鉴定与评价技术规程》的编号是什么？,该标准的编号为DB42/T 1404-2018。,水稻品种抽穗扬花期耐冷性鉴定与评价技术规程,DB42/T 1404-2018,事实型问答,GraphRAG-MCP快路径,standard_978e6b2fb1bbd148,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D975A2E24E05397BE0A0A3A10,机器构建后待人工复核
830,标准《水稻工厂化基质育秧技术规程》的编号是什么？,该标准的编号为DB42/T 1409-2018。,水稻工厂化基质育秧技术规程,DB42/T 1409-2018,事实型问答,GraphRAG-MCP快路径,standard_71ba298aaae41999,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D975E2E24E05397BE0A0A3A10,机器构建后待人工复核
831,标准《水稻品种耐高温性能的花期梯级温度鉴定规程》的编号是什么？,该标准的编号为DB42/T 1410-2018。,水稻品种耐高温性能的花期梯级温度鉴定规程,DB42/T 1410-2018,事实型问答,GraphRAG-MCP快路径,standard_50bcdc0184fea9a0,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8E012E24E05397BE0A0A3A10,机器构建后待人工复核
832,标准《水稻热害田间调查及耐高温性大田鉴定规程》的编号是什么？,该标准的编号为DB42/T 1411-2018。,水稻热害田间调查及耐高温性大田鉴定规程,DB42/T 1411-2018,事实型问答,GraphRAG-MCP快路径,standard_182fbebd669683fc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8CBD2E24E05397BE0A0A3A10,机器构建后待人工复核
833,标准《水稻种子检疫操作规程》的编号是什么？,该标准的编号为DB42/T 149-2002。,水稻种子检疫操作规程,DB42/T 149-2002,事实型问答,GraphRAG-MCP快路径,standard_d1de5c76e1478bcf,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D0D132E24E05397BE0A0A3A10,机器构建后待人工复核
834,标准《水稻白叶枯病及稻瘟病抗性鉴定操作规程》的编号是什么？,该标准的编号为DB42/T 157-1998。,水稻白叶枯病及稻瘟病抗性鉴定操作规程,DB42/T 157-1998,事实型问答,GraphRAG-MCP快路径,standard_fdaf43bc07d52f92,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DBAB12E24E05397BE0A0A3A10,机器构建后待人工复核
835,标准《水稻白叶枯病及稻瘟病抗性鉴定操作规程》的编号是什么？,该标准的编号为DB42/T 157-2003。,水稻白叶枯病及稻瘟病抗性鉴定操作规程,DB42/T 157-2003,事实型问答,GraphRAG-MCP快路径,standard_79f8220aa6a7d579,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4DB7812E24E05397BE0A0A3A10,机器构建后待人工复核
836,标准《虾稻共作模式下稻田养分管理及水稻主要病虫害防治技术规程》的编号是什么？,该标准的编号为DB42/T 1574-2020。,虾稻共作模式下稻田养分管理及水稻主要病虫害防治技术规程,DB42/T 1574-2020,事实型问答,GraphRAG-MCP快路径,standard_205254d6b391b280,https://std.samr.gov.cn/db/search/stdDBDetailed?id=B45DDE6AD89FF84BE05397BE0A0AB2E5,机器构建后待人工复核
837,标准《利用沼液种植 第1部分：沼液种植水稻技术规程》的编号是什么？,该标准的编号为DB42/T 1664.1-2021。,利用沼液种植 第1部分：沼液种植水稻技术规程,DB42/T 1664.1-2021,事实型问答,GraphRAG-MCP快路径,standard_2ebab0afdc3e164b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C3629C0561C693E6E05397BE0A0AAFF1,机器构建后待人工复核
838,标准《化肥农药减施增效技术规程 第2部分：水稻》的编号是什么？,该标准的编号为DB42/T 1700.2-2022。,化肥农药减施增效技术规程 第2部分：水稻,DB42/T 1700.2-2022,事实型问答,GraphRAG-MCP快路径,standard_f1ed91bf7d8435cb,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E04B4DA66420A3A4E05397BE0A0A26B1,机器构建后待人工复核
839,标准《水稻高温逼熟耐性鉴定技术规程》的编号是什么？,该标准的编号为DB42/T 1704-2021。,水稻高温逼熟耐性鉴定技术规程,DB42/T 1704-2021,事实型问答,GraphRAG-MCP快路径,standard_36e028aeef3e11f4,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C71124171ADB1864E05397BE0A0A8F4A,机器构建后待人工复核
840,标准《水稻-大球盖菇轮作栽培技术规程》的编号是什么？,该标准的编号为DB42/T 1705-2021。,水稻-大球盖菇轮作栽培技术规程,DB42/T 1705-2021,事实型问答,GraphRAG-MCP快路径,standard_a43a09a5759658c5,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C71124171ADC1864E05397BE0A0A8F4A,机器构建后待人工复核
841,标准《水稻品种鄂香2号栽培技术规程》的编号是什么？,该标准的编号为DB42/T 1718-2021。,水稻品种鄂香2号栽培技术规程,DB42/T 1718-2021,事实型问答,GraphRAG-MCP快路径,standard_ca014898683e9264,https://std.samr.gov.cn/db/search/stdDBDetailed?id=C8905EA77524414CE05397BE0A0A0842,机器构建后待人工复核
842,标准《水稻机械化生产苗情监测技术规范》的编号是什么？,该标准的编号为DB42/T 1750-2021。,水稻机械化生产苗情监测技术规范,DB42/T 1750-2021,事实型问答,GraphRAG-MCP快路径,standard_2725aa1a15c8230b,https://std.samr.gov.cn/db/search/stdDBDetailed?id=CB5EBE745D5E416AE05397BE0A0AB493,机器构建后待人工复核
843,标准《水稻育秧中心建设技术规范》的编号是什么？,该标准的编号为DB42/T 1874-2022。,水稻育秧中心建设技术规范,DB42/T 1874-2022,事实型问答,GraphRAG-MCP快路径,standard_2f75b1693039ab8c,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E04B4DA6641CA3A4E05397BE0A0A26B1,机器构建后待人工复核
844,标准《虾稻共作模式水稻机械化作业技术规程》的编号是什么？,该标准的编号为DB42/T 1881-2022。,虾稻共作模式水稻机械化作业技术规程,DB42/T 1881-2022,事实型问答,GraphRAG-MCP快路径,standard_93d32bc0cf6f5822,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E3BC3FB9E04DE96FE05397BE0A0AC21D,机器构建后待人工复核
845,标准《农用航空器水稻播种技术规程》的编号是什么？,该标准的编号为DB42/T 1897-2022。,农用航空器水稻播种技术规程,DB42/T 1897-2022,事实型问答,GraphRAG-MCP快路径,standard_37b73b9d334890da,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E65825C7100EDA8FE05397BE0A0AD120,机器构建后待人工复核
846,标准《水稻品种抗病性鉴定 第1部分：稻粒黑粉病抗性鉴定方法》的编号是什么？,该标准的编号为DB42/T 1918.1-2022。,水稻品种抗病性鉴定 第1部分：稻粒黑粉病抗性鉴定方法,DB42/T 1918.1-2022,事实型问答,GraphRAG-MCP快路径,standard_046d2d0fe9d788fc,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E8AF042297BF6009E05397BE0A0A69C2,机器构建后待人工复核
847,标准《机械高效防控病虫害技术规程 第1部分：水稻》的编号是什么？,该标准的编号为DB42/T 1919.1-2022。,机械高效防控病虫害技术规程 第1部分：水稻,DB42/T 1919.1-2022,事实型问答,GraphRAG-MCP快路径,standard_623b448f2a828e17,https://std.samr.gov.cn/db/search/stdDBDetailed?id=E8AF042297C06009E05397BE0A0A69C2,机器构建后待人工复核
848,标准《水稻全程地膜覆盖湿润栽培技术操作规程》的编号是什么？,该标准的编号为DB42/T 199-2001。,水稻全程地膜覆盖湿润栽培技术操作规程,DB42/T 199-2001,事实型问答,GraphRAG-MCP快路径,standard_0f806b8d9f1f805d,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D31142E24E05397BE0A0A3A10,机器构建后待人工复核
849,标准《农用无人航空器水稻施肥技术规程》的编号是什么？,该标准的编号为DB42/T 2074-2023。,农用无人航空器水稻施肥技术规程,DB42/T 2074-2023,事实型问答,GraphRAG-MCP快路径,standard_adfa99e9292be309,https://std.samr.gov.cn/db/search/stdDBDetailed?id=02111BEA3CC225A6E06397BE0A0AA78A,机器构建后待人工复核
850,标准《杂交水稻“三系”亲本及杂交种田间种植检验操作规程》的编号是什么？,该标准的编号为DB42/T 224-2002。,杂交水稻“三系”亲本及杂交种田间种植检验操作规程,DB42/T 224-2002,事实型问答,GraphRAG-MCP快路径,standard_96b683bcc7a8a6e9,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D4BCF2E24E05397BE0A0A3A10,机器构建后待人工复核
851,标准《水稻品种抗稻瘟病鉴定技术规程》的编号是什么？,该标准的编号为DB42/T 2255-2024。,水稻品种抗稻瘟病鉴定技术规程,DB42/T 2255-2024,事实型问答,GraphRAG-MCP快路径,standard_b4b1cc1a4df63ebf,https://std.samr.gov.cn/db/search/stdDBDetailed?id=1F9CC92015F84EB8E06397BE0A0A5CBB,机器构建后待人工复核
852,标准《水稻群体长势无人机监测技术规程》的编号是什么？,该标准的编号为DB42/T 2371-2025。,水稻群体长势无人机监测技术规程,DB42/T 2371-2025,事实型问答,GraphRAG-MCP快路径,standard_5d8365d8456ccffe,https://std.samr.gov.cn/db/search/stdDBDetailed?id=35A303545A7E0F81E06397BE0A0A18E9,机器构建后待人工复核
853,标准《杂交水稻品种纯度田间现场鉴定技术规程》的编号是什么？,该标准的编号为DB42/T 346-2006。,杂交水稻品种纯度田间现场鉴定技术规程,DB42/T 346-2006,事实型问答,GraphRAG-MCP快路径,standard_58c466e1fa8d9033,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D8CCB2E24E05397BE0A0A3A10,机器构建后待人工复核
854,标准《水稻杂交种子及亲本种子纯度海南种植鉴定技术规程》的编号是什么？,该标准的编号为DB42/T 347-2006。,水稻杂交种子及亲本种子纯度海南种植鉴定技术规程,DB42/T 347-2006,事实型问答,GraphRAG-MCP快路径,standard_680c8f40a03aff14,https://std.samr.gov.cn/db/search/stdDBDetailed?id=91D99E4D7AF52E24E05397BE0A0A3A10,机器构建后待人工复核
